"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","60.42","57.42","60.51","55.82","9.49M","5.26%"
"11/01/2017","57.40","54.65","59.05","53.89","12.53M","5.55%"
"10/01/2017","54.38","51.64","54.85","49.10","11.95M","5.24%"
"09/01/2017","51.67","47.08","52.86","46.56","12.24M","9.40%"
"08/01/2017","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"07/01/2017","50.17","46.28","50.41","43.65","14.57M","8.97%"
"06/01/2017","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"05/01/2017","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"04/01/2017","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"03/01/2017","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"02/01/2017","54.01","52.76","54.94","51.22","9.09M","2.27%"
"01/01/2017","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"12/01/2016","53.72","49.07","54.51","48.98","10.64M","8.66%"
"11/01/2016","49.44","46.77","49.90","42.20","13.50M","5.51%"
"10/01/2016","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"09/01/2016","48.24","44.85","48.32","42.55","12.37M","7.92%"
"08/01/2016","44.70","41.35","48.75","39.19","11.59M","7.45%"
"07/01/2016","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"06/01/2016","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"05/01/2016","49.10","45.90","50.21","43.03","11.20M","6.93%"
"04/01/2016","45.92","38.14","46.78","35.24","11.62M","19.77%"
"03/01/2016","38.34","33.90","41.90","33.37","10.88M","13.60%"
"02/01/2016","33.75","33.83","34.69","26.05","11.47M","0.39%"
"01/01/2016","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"12/01/2015","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"11/01/2015","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"10/01/2015","46.59","45.38","50.92","42.58","8.31M","3.33%"
"09/01/2015","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"08/01/2015","49.20","46.86","49.33","37.75","8.24M","4.41%"
"07/01/2015","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"06/01/2015","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"05/01/2015","60.30","59.79","62.58","56.51","6.34M","1.12%"
"04/01/2015","59.63","47.55","59.85","47.05","7.63M","25.27%"
"03/01/2015","47.60","49.45","52.48","42.03","7.69M","-4.34%"
